Study Title,Status,Date of publication,DOI,Affiliation,Country of 1st author,Source of funding,Registration,Registration database,Protocol,Number of database(s),Database(s) name(s),Database(s) structured,Type of database,Database(s) country(s),Aim of study,Causal contrast,Number of primary outcome(s),Name of primary outcome(s),Type of primary outcome(s),Number of interventional arm(s),Number of control(s),Medical speciality,Name of primary (first) intervention,Type of intervention,ATC class,Comparator type,Comparator name,Study design,Statistical design,Sample size,High-dimensional method,Validation study,Position of the 1st/main hdPS analysis,Number of data dimensions,Temporal window,Included dimensions,Other dimensions,Diagnoses coding system,Procedures coding system,Drugs coding system,Granularity of codes,Other granularity,Prevalence filter,Number of most prevalent codes,Recurrence assessment,Covariates prioritization method,Number of predefined covariates,Number of prioritized covariates,Inclusion of post-baseline predefined covariates,Model used for building PS,Other model,Trimming,PS score main use,PS score other use,Additional variables used for,Reported list of included hdPS variables,Main or first intervention effect model,"Intervention, nb of eligible patients","Control, nb of eligible patients",Exclusion of eligible patients in the analysis,Use of a flowchart,"Intervention, nb of patients analyzed","Control, nb of patients analyzed",Reporting of crude analysis,Diagnostics for differences,hdPS specific sensitivity analysis,hdPS specific diagnostics,Investigator excluded variables,Transparency of hdPS reporting,Comparison with other methods (non hdPS),Method details,"Other, details",Use of a reporting guideline,Availability of code,Availability of data,Statistical software used,Aim ROBINS,Results assessed ROBINS,Bias due to confounding,Bias in selection of participants,Bias in classification of interventions,Bias due to deviations from intended interventions,Bias due to missing data,Bias in measurement of outcomes,Bias in selection of the reported result,Overall bias
Association of Postdischarge Rehabilitation with Mortality inIntensive Care Unit Survivors of Sepsis,Done,11/9/2014,10.1164/rccm.201406-1170OC,Unclear,Taiwan,Not reported,Not reported,,Not reported,1,NHIRD,Other,PCD,Taiwan,Efficacy,ITT,1,mortality,Time to event,1,1,Physical Rehabilitation,Rehabilitation within 90 days,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,180,"Outpatient procedures (including tests),Drugs (all),Inpatient diagnoses,Outpatient diagnoses,Inpatient procedures (including tests),Disease specific","prescription, examination, procedures in outpatient or emergency / prescription, examination, procedure in hospitalization / ICD-9 outpatient codes / ICD-9 inpatient codes / prescription, examination, procedure in hospitalization for sepsis",ICD-9,Not reported,Not reported,3 digit ICD,,Yes,200,"""Once, sporadic, frequent""",Bross formula,14,500,No,Logistic regression,,Yes,Stratification,Matching,To match with the hdPS,Yes,Cox regression,16239,97820,Yes,Yes,15535,15535,Yes,Not reported,,PS distribution plots,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",Yes,Multivariable analysis on predefined variables," multivariable-adjusted Cox model including all sepsissurvivors among which postdischargerehabilitation was calculated as time-varying covariate, and testing the varioustime windows for rehabilitation afterhospital discharge (e.g., 45, 90, 180, and 365d); and (3) Cox model with sandwichestimator of hospital-level or with shared-frailty model of the individual hospitalidentifier to adjust for hospital-levelvariation in patterns of rehabilitationreferral. ",Not reported,Not reported,Not reported,SAS,Assignment (ITT),mortality HR 0.94,Moderate,Moderate,Low,Low,Low,Low,NI,Moderate
Atrial fibrillation is associated with greater risk of dementia in  older veterans,Done,1/11/2021,10.1016/j.jagp.2021.02.038,Yes,USA,Public,Not reported,,Not reported,1,Veterans Health Administration,Veterans Administration databases,PCD,USA,Safety,Per-protocol,1,Dementia,Discrete,1,1,Cardiology,Anticoagulation,Pharmacological,B01A,Active comparator,Unexposed,New-user design,Not reported,No,hdPS,No,Primary analysis,,1460,,,ICD-9,,,,,,,Schneeweiss citation,Schneeweiss citation,13,,Unclear,Schneeweiss citation,,Not reported,Adjustment on deciles (stratification),,,No,Logistic regression,16382,391489,No,No,16382,391489,No,Not reported,,,Not reported,Specify software,No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),OR 1.16,Serious,Serious,Low,Low,NI,Low,NI,Serious
Benzodiazepines and risk of all cause mortality in adults:   cohort study,Done,6/7/2017,10.1136/bmj.j2941,Yes,USA,Public,Not reported,,Not reported,1,Optum Clinformatics,Optum Clinformatics,PCD,USA,Safety,ITT,1,death,Time to event,1,1,Psychiatry,benzodiazepine,Pharmacological,N05BA,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,180,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,90,200,No,Schneeweiss citation,,Not reported,Matching,,,No,Cox regression,1686410,1930159,Yes,Yes,1252988,1252988,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,Not reported,,,SAS,Assignment (ITT),HR 1.00,Moderate,Low,Moderate,Low,NI,Low,NI,Moderate
Broad-Spectrum Antibiotic Use and Disease Progression in Early-Stage Melanoma Patients: A Retrospective Cohort Study,Done,29/8/2021,10.3390/cancers13174367,Unclear,USA,Public,Not reported,,Not reported,1,IQVIA PharMetrics,IQVIA PharMetrics,PCD,USA,Both,ITT,1,Melanoma progression,Time to event,3,1,Infectious Disease Medicine,Antibiotic in pre-3 month,Pharmacological,J01,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient procedures (including tests)",,ICD-10,HCPCS,Other,"3 digit ICD,Other",Level I and II HCPCS / 6 digits GPI,,,Schneeweiss citation,Bross formula,9,200,No,Logistic regression,,Yes,Weighting,,No additional variables used with/before/after hdPS,No,Cox regression,646,3284,Yes,Yes,,,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify covariate priorisation method,Description parameters for feature generation,Specify software",Yes,Negative controls,,STROBE,Not reported,No,SAS,Assignment (ITT),HR 0.81,Moderate,Low,Low,Low,NI,Moderate,NI,Moderate
Comparative cardiovascular and hypoglycaemic safety of glimepiride in type 2 diabetes: A population-based cohort study,Done,30/3/2019,10.1111/dom.13893,Yes,Canada,"Private,Public",Not reported,,Mentioned but not available,1,CPRD + HES + ONS,CPRD (+HES),Both linked,UK,Safety,"Per-protocol,ITT",5,myocardial infarction / ischaemic stroke / severe hypoglycemia / cardiovascular death / all-cause mortality,Time to event,1,2,Diabetology,glimepiride,Pharmacological,A10BB12,Active comparator,A10BB,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,10,500,No,Schneeweiss citation,,Yes,Matching,Weighting,To match with the hdPS,No,Cox regression,6438,25741,Yes,Yes,5944,20565,Yes,Standardized Difference,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,"SAS,R",Starting and adhering (PP),HR 0.99,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Comparative Effectiveness and Safety of  Standard or Reduced Dose Dabigatran vs.  Rivaroxaban in Nonvalvular Atrial Fibrillation,Done,30/10/2018,10.1002/cpt.1318,Yes,France,Private,Yes,EUPAS / CT.gov,Available,1,SNDS,SNDS,PCD,France,Both,Per-protocol,3,hospitalization with a main diagnosis of ischemic SSE / MB / all-cause death,Time to event,2,2,Cardiology,Dabigatran 150 mg,Pharmacological,B01AE07,Active comparator,Rivaroxaban 20 mg,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,1095,"Inpatient diagnoses,Outpatient drug dispensation,Medical encounters,Outpatient diagnoses",LTD,ICD-10,Other,ATC,3 digit ICD,,,,"""Once, sporadic, frequent""",Schneeweiss citation,24,500,No,Schneeweiss citation,,Not reported,Matching,Adjustment on deciles (stratification),No additional variables used with/before/after hdPS,Yes,Cox regression,15532,11195,No,Yes,7639,7639,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.92,Moderate,Low,Low,Serious,NI,Low,Moderate,Serious
Comparative Effectiveness and Safety of LABA-LAMA vs LABA-ICS Treatment of COPD in Real-World Clinical Practice,Done,4/6/2019,10.1016/j.chest.2019.03.005,Yes,Canada,"Private,Public",Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Both,"Per-protocol,ITT",1,first moderate or severe COPD exacerbation,Time to event,1,1,Pulmonary Medicine,LABA-LAMA,Pharmacological,R03BB,Active comparator,Inhaled corticosteroids,New-user design,Not reported,,hdPS,No,Primary analysis,4,365,"Procedures (all),Drugs (all),Diagnoses (all),Symptoms",symptoms,Not reported,Not reported,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,,200,No,Schneeweiss citation,,Yes,Matching,,"To match with the hdPS,To adjust after hdPS matching/weighting",No,Cox regression,2066,54394,Yes,Yes,1977,1977,No,Not reported,,,Not reported,"Specify total number of covariates included,Specify software,Specify data dimensions",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.04,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Comparative effectiveness and safety of oral anticoagulants for atrial fibrillation:  A retrospective cohort study,Done,13/4/2020,10.15586/jptcp.v27i2.662,Yes,Canada,Public,Not reported,,Not reported,1,PharmaNet + DAD + BCVS + LifeLabs,British Columbia health databases,PCD,Canada,Both,"ITT,Per-protocol",1,composite of ischemic stroke and systemic embolism / bleeding,Discrete,1,1,Cardiology,DOAC,Pharmacological,B01AF,Active comparator,VKA,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,1095,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Medical encounters",,ICD-10,Other,Generic drug names,,,Yes,200,Schneeweiss citation,Bross formula,36,500,No,Schneeweiss citation,,Yes,Adjustment,,To adjust with hdPS (stratas or not),No,Poisson regression,8535,11578,Yes,No,,,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,STROBE,Not reported,Not reported,SAS,Assignment (ITT),HR 1.15,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparative Effectiveness of Angiotensin-Converting Enzyme Inhibitors and Angiotensin II Receptor Blockers in Terms of Major Cardiovascular Disease Outcomes in Elderly Patients,Done,15/9/2015,10.1097/MD.0000000000001751,Yes,Taiwan,Public,Not reported,,Not reported,1,NHIRD,Other,PCD,Taiwan,Both,"ITT,Per-protocol",3,all-cause mortality / hospitalization with heart failure / MACE (hospitalization with stroke or myocardial infarction),Time to event,1,1,Cardiology,angiotensin-converting enzyme inhibitors,Pharmacological,C09A,Active comparator,angiotensin II recep- tor blockers,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,,"Symptoms,Drugs (all),Procedures (all),Diagnoses (all),Administrative data",demographics / drug codes / laboratory and diagnostic procedures,ICD-9,Not reported,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,,500,No,Logistic regression,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,48501,31506,Yes,Yes,12347,12347,No,Standardized Difference,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),all-cause mortality HR 0.89,Moderate,Moderate,Moderate,Moderate,NI,Low,NI,Moderate
"Comparative effectiveness of branded vs. generic versions of antihypertensive, lipid-lowering and hypoglycemic substances: a population-wide cohort study",Done,6/4/2020,10.1038/s41598-020-62318-y,No,USA,Not reported,Not reported,,Not reported,1,Austrian social security institutions,Other,PCD,Austria,Both,ITT,2,all-cause death / MACE,Time to event,17,17,Cardiology,Antihypertensive drugs branded,Pharmacological,C02,Active comparator,generics,New-user design,Not reported,Not reported,hdPS,Yes,Primary analysis,,180,,,,,,,,,,Schneeweiss citation,Bross formula,6,200,No,Other,LASSO,Not reported,Weighting,,,No,Cox regression,427641,558508,Unclear,No,,,Yes,General Weighted Difference,,,Not reported,"Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,Multivariable analysis on predefined variables,,Not reported,Not reported,Not reported,R,Assignment (ITT),HR 1.15,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparative Effectiveness of Carotid Artery Stenting Versus Carotid Endarterectomy Among Medicare Beneficiaries,Done,21/3/2016,10.1161/CIRCOUTCOMES.115.002336,Yes,USA,Public,Not reported,,Not reported,2,Medicare + CARE Registry / Medicare + SVS-VR,Medicaid or Medicare,Both linked,USA,Both,ITT,3,death / stroke transient ischemic attack / periprocedural MI,Time to event,1,1,Cardiology,Carotid Artery Stenting,Not-pharmacological,,Active comparator,Carotid Endarterectomy,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,13,,"Outpatient procedures (including tests),Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests)",other diagnoses / other procedures / imaging results,,,,,,,,Schneeweiss citation,Schneeweiss citation,6,,No,Schneeweiss citation,,Not reported,Adjustment on deciles (stratification),,To adjust with hdPS (stratas or not),No,Cox regression,1999,3255,Unclear,No,,,Yes,C-statistic,,,Not reported,"Specify data dimensions,Specify software",No,,,STROBE,Not reported,Not reported,SAS,Assignment (ITT),HR 1.13,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparative effectiveness of dimethyl fumarate in multiple sclerosis,Done,29/8/2021,10.1111/bcp.15071,Yes,France,Private,Not reported,,Not reported,1,SNDS,SNDS,PCD,France,Efficacy,Per-protocol,1,annual rate of relapse subject to treatment (ARRt),Continuous,1,3,Neurology,dimethyl fumarate,Pharmacological,L04AX07,Active comparator,IMM,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,365,"Outpatient drug dispensation,Inpatient diagnoses,Medical encounters,Outpatient procedures (including tests),Lab records (all),Outpatient diagnoses","LTD registrations diagnoses, lab tests",ICD-10,Not reported,ATC,,,,,"""Once, sporadic, frequent""",Bross formula,18,,No,Logistic regression,,Yes,Matching,"Adjustment on deciles (stratification),Weighting",,Yes,Poisson regression,2697,2997,Yes,No,1780,1780,Yes,"Standardized Difference,C-statistic",,PS distribution plots,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify software,Describe feature recurrence assessment method",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),RR 0.72,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Comparative Effectiveness Of Fluoroquinolone Antibiotic Use In Uncomplicated Acute Exacerbations Of COPD: A Multi-Cohort Study,Done,18/12/2019,10.2147/COPD.S226324,Yes,Canada,Public,Not reported,,Not reported,6,Administrative data from 6 Canadian provinces CNODES,CNODES network databases,PCD,Canada,Efficacy,ITT,3,repeat ambulatory care visits for COPD / hospitalisation with COPD / subsequent antibiotic prescriptions,Time to event,1,1,Infectious Disease Medicine,fluoroquinolone,Pharmacological,J01MA,Active comparator,other antibiotics,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,,,Unclear,Schneeweiss citation,,Not reported,Weighting,,,No,Logistic regression,,,Unclear,Yes,,,No,Not reported,,,Not reported,,No,,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),OR 1.32,NI,Low,Low,Low,NI,Low,NI,NI
Comparative effectiveness of gliclazide modified release versus sitagliptin as second-line treatment after metformin monotherapy in patients with uncontrolled type 2 diabetes,Done,3/8/2020,10.1111/dom.14169,Yes,UK,Private,Not reported,,Mentioned but not available,1,CPRD Gold + HES + ONS,CPRD (+HES),Both linked,UK,Efficacy,"ITT,Per-protocol",1,Time to HbA1c < 7,Time to event,1,1,Diabetology,gliclazide,Pharmacological,A10BB09,Active comparator,sitagliptin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,,"Other,Medical encounters,Outpatient prescriptions",,,,,,,,,Schneeweiss citation,Schneeweiss citation,36,300,,Logistic regression,,Yes,Matching,Weighting,No additional variables used with/before/after hdPS,No,Cox regression,1207,5479,Yes,Yes,993,993,No,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,RECORD-PE,Not reported,Not reported,Stata,Assignment (ITT),HR 1.35,Moderate,Low,Low,Low,Moderate,Low,NI,Moderate
Comparative Effectiveness of Intra-Articular Hyaluronic Acid and Corticosteroid Injections on the Time to Surgical Knee Procedures,Done,14/7/2017,10.1016/j.arth.2017.07.007,Unclear,USA,Public,Not reported,,Available,1,LifeLink,IQVIA PharMetrics,PCD,USA,Efficacy,ITT,1,receipt of a knee OA surgical intervention,Time to event,1,2,Orthopedics,Hyaluronic Acid,Pharmacological,M09AX01,Active comparator,corticosteroid,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,180,"Inpatient diagnoses,Inpatient procedures (including tests),Outpatient diagnoses,Outpatient procedures (including tests),Outpatient drug dispensation",,Other,"CPT,HCPCS",Other,Other,,Yes,200,"""Once, sporadic, frequent""",Bross formula,52,500,No,Logistic regression,,Not reported,Matching,,,Yes,Cox regression,797,5327,No,No,,,Yes,Standardized Difference,,,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify software,Specify total number of covariates included",Yes,"Multivariable analysis on predefined variables,Negative controls",,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.89,Serious,Moderate,Moderate,Moderate,NI,Low,NI,Serious
Comparative effectiveness of LABA-ICS versus LAMA as  initial treatment in COPD targeted by blood eosinophils:  a population-based cohort study,Done,17/10/2018,10.1016/ S2213-2600(18)30368-0,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Efficacy,ITT,1,COPD exacerbation,Time to event,1,1,Pulmonary Medicine,LABA ICS,Pharmacological,R03BB04,Active comparator,LAMA,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,365,"Lab records (all),Procedures (all),Diagnoses (all),Drugs (all),Symptoms,Administrative data",clinical / administrative,Not reported,Not reported,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,3,500,No,Logistic regression,,Yes,Matching,,To adjust after hdPS matching/weighting,No,Cox regression,18500,13870,Yes,Yes,12366,12366,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.95,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparative effectiveness of novel oral  anticoagulants in UK patients with non- valvular atrial fibrillation and chronic  kidney disease: a matched cohort study,Done,22/11/2017,10.1136/bmjopen-2017-019638,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Efficacy,"Per-protocol,ITT",1,composite of ischaemic stroke and systemic embolism,Time to event,1,1,Cardiology,NOAC,Pharmacological,B01A,Active comparator,VKAs,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,365,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,2,500,No,Not reported,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,10787,23306,Yes,Yes,6731,6731,No,Not reported,,,Not reported,"Specify software,Specify total number of covariates included",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.94,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Comparative effectiveness of rivaroxaban versus warfarin or dabigatran for the treatment of patients with non-valvular atrial fibrillation,Done,6/7/2017,10.1186/s12872-017-0672-5,Yes,USA,Public,Not reported,,Not reported,1,MarketScan,Truven Marketscan,PCD,USA,Both,ITT,5,ischemic / stroke / intracranial bleeding / MI / GI bleeding,Time to event,2,1,Cardiology,rivaroxaban,Pharmacological,B01AF01,Active comparator,warfarin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests)",,,,,,,Yes,200,Schneeweiss citation,Schneeweiss citation,35,500,No,Schneeweiss citation,,Not reported,Matching,,,No,Cox regression,32495,45496,Yes,No,39011,83981,No,Not reported,,PS distribution plots,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.75,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparative Effectiveness of Tiotropium and Ipratropium in Prevention of Hospital Readmission for COPD: A Population-Based Cohort Study,Done,1/4/2013,10.1016/j.clinthera.2012.10.007,Yes,Canada,Public,Not reported,,Not reported,1,British Columbia Databases,British Columbia health databases,PCD,Canada,Both,ITT,1,Hospital Readmission for COPD,Time to event,1,1,Pulmonary Medicine,Tiotropium,Pharmacological,R03BB04 ,Active comparator,Ipratropium,New-user design,Not reported,Yes,hdPS,No,Primary analysis,5,365,"Outpatient drug dispensation,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient diagnoses",,"ICD-10,ICD-9",,ATC,Other,ATC5,Yes,200,Schneeweiss citation,Bross formula,7,500,No,Logistic regression,,Not reported,Matching,,To match with the hdPS,No,Cox regression,992,2731,Yes,Yes,750,750,Yes,C-statistic,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.97,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparative Real‑Life Effectiveness and Safety of Dabigatran  or Rivaroxaban vs. Vitamin K Antagonists: A High‑Dimensional  Propensity Score Matched New Users Cohort Study in the French  National Healthcare Data System SNDS,Done,29/6/2019,10.1007/s40256-019-00359-z,Yes,France,Private,Yes,EUPAS / CT.GOV,Available,1,SNDS,SNDS,PCD,France,Both,Per-protocol,1,hospitalization with a main  diagnosis of SSE / major bleeding / all-cause death,Time to event,2,1,Cardiology,dabigatran,Pharmacological,B01AE07,Active comparator,VKA,New-user design,Not reported,No,hdPS,No,Primary analysis,4,1095,"Outpatient drug dispensation,Inpatient diagnoses,Medical encounters,Outpatient diagnoses",Chronic disease,ICD-10,,ATC,"3 digit ICD,Other",ATC-7,,,"""Once, sporadic, frequent""",Association with outcome,11,500,No,Logistic regression,,Not reported,Matching,Adjustment on deciles (stratification),No additional variables used with/before/after hdPS,Yes,Cox regression,27060,44653,Yes,No,20489,23053,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",Yes,Negative controls,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0398,Moderate,Low,Low,Serious,NI,Low,Moderate,Serious
Comparative risk of death in older adults treated with antipsychotics: A population-based cohort study,Done,2/7/2016,10.1016/j.euroneuro.2016.07.006,Yes,Germany,Public,Not reported,,Not reported,1,GePaRD,GePaRD,PCD,Germany,Safety,ITT,1,death,Time to event,14,1,Psychiatry,Melperone,Pharmacological,N05A,Active comparator,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Sensitivity analysis,5,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests)",,,,,,,,,Schneeweiss citation,Schneeweiss citation,73,500,No,Schneeweiss citation,,Not reported,Adjustment,,No additional variables used with/before/after hdPS,No,Cox regression,56904,26632,Unclear,No,,,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.13,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparative risk of severe hypoglycemia among concomitant users of thiazolidinedione antidiabetic agents and antihyperlipidemic,Done,14/3/2016,10.1016/j.diabres.2016.03.006,Yes,USA,Public,Not reported,,Not reported,1,Medicaid,Medicaid or Medicare,PCD,USA,Safety,Per-protocol,1,severe hypoglycemia,Binary,7,1,Diabetology,Atorvastatin,Pharmacological,C10AA,Active comparator,Pravastatin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,9,,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient prescriptions",other settings procedures / diagnoses,ICD-9,"CPT,HCPCS",Generic drug names,"3 digit ICD,5 digit CPT,Generic drug name",,Yes,200,None,Bross formula,18,665,No,Logistic regression,,Not reported,Adjustment,,No additional variables used with/before/after hdPS,Yes,Cox regression,109371,21066,Unclear,No,,,Yes,Not reported,,"Inspection of selected variables,Surveillance for IVs",Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.94,Moderate,Low,Low,Moderate,NI,Moderate,NI,Moderate
Comparative Safety of Dipeptidyl  Peptidase-4 Inhibitors Versus Sulfonylureas and Other Glucose-lowering Therapies for Three Acute Outcomes,Done,11/10/2018,10.1038/s41598-018-33483-y,Unclear,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Safety,Per-protocol,1,"time to acute kidney injury, acute respiratory tract infection or acute pancreatitis",Time to event,1,4,Diabetology,DPP4i,Pharmacological,A10BH,Active comparator,A10BB,New-user design,Not reported,Yes,hdPS,No,Primary analysis,,365,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,15,40,No,Logistic regression,,Yes,Adjustment on deciles (stratification),Matching,To adjust with hdPS (stratas or not),No,Cox regression,8422,29793,Yes,Yes,8411,28990,Yes,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,R,Starting and adhering (PP),HR ,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Comparative Safety of Dipeptidyl Peptidase-4 Inhibitors Sudden  Cardiac Arrest Ventricular Arrhythmia: Population-Based Cohort  Studies,Done,31/7/2021,10.1002/cpt.2381.,Yes,USA,Public,Not reported,,Not reported,2,Medicaid / Optum,"Medicaid or Medicare,Optum Clinformatics",PCD,USA,Safety,Per-protocol,1,SCA-VA events,Time to event,2,1,Diabetology,saxagliptin,Pharmacological,A10BH03,Active comparator,sitagliptin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,9,365,"Outpatient drug dispensation,Outpatient procedures (including tests),Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests)",,"ICD-10,ICD-9","CPT,HCPCS",Generic drug names,"3 digit ICD,Generic drug name,Other",4 digit CPT / 2 digit ICD9,Yes,200,None,Bross formula,72,500,No,Logistic regression,,No,Matching,Weighting,To adjust after hdPS matching/weighting,Yes,Cox regression,23902,150460,Yes,No,23895,96972,No,Standardized Difference,,"Inspection of selected variables,Surveillance for IVs,PS distribution plots",Yes,"Specify data dimensions,Description parameters for feature generation,Specify covariate priorisation method,Describe feature recurrence assessment method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 2.01,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
